TBLASTN 2.2.29+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: Cnidarians
           59,203 sequences; 3,418,506,885 total letters



Query= AAB47805.1 ankyrin [Homo sapiens]

Length=1856
                                                                      Score     E
  LJWW01000201.1 Exaiptasia pallida isolate CC7 scaffold202, whol...  91.3    6e-17
  NW_018149371.1 Orbicella faveolata isolate FL unplaced genomic ...  90.1    1e-16
  afen_scaffold_96                                                    89.4    2e-16
  SczhEnG_1016                                                        87.4    8e-16
  dspp_scaffold_43                                                    87.0    1e-15
  dspp_scaffold_5339                                                  82.8    6e-15
  scaffold_6028                                                       77.8    8e-13
  scaffold_4231                                                       72.0    5e-11
  SczhEnG_3967                                                        62.8    4e-08
  NW_018148946.1 Orbicella faveolata isolate FL unplaced genomic ...  62.4    5e-08
  LJWW01001202.1 Exaiptasia pallida isolate CC7 scaffold1205, who...  62.0    6e-08
  LJWW01000001.1 Exaiptasia pallida isolate CC7 scaffold1, whole ...  62.0    7e-08
  dspp_scaffold_6                                                     61.6    9e-08
  afen_scaffold_455                                                   61.2    1e-07
  scaffold_124                                                        59.7    4e-07
  NW_004167403.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.9    7e-07
  NW_004167024.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.8    6e-06
  adi_Scaffold1008                                                    52.8    5e-05
  LJWW01004286.1 Exaiptasia pallida isolate CC7 scaffold5044, who...  50.1    2e-04
  adi_Scaffold433                                                     49.3    5e-04
  scaffold_20                                                         44.3    0.022
  adi_Scaffold94                                                      44.3    0.024
  afen_scaffold_228                                                   40.0    0.39 
  scaffold_8722                                                       39.7    0.52 
  dspp_scaffold_248                                                   39.7    0.61 



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= sp|Q00613.1|HSF1_HUMAN RecName: Full=Heat shock factor protein 1;
Short=HSF 1; AltName: Full=Heat shock transcription factor 1;
Short=HSTF 1

Length=529
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  LJWW01000062.1 Exaiptasia pallida isolate CC7 scaffold62, whole...  61.6    2e-14
  scaffold_14                                                         59.7    2e-13
  NW_004167402.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.5    3e-12
  LJWW01000148.1 Exaiptasia pallida isolate CC7 scaffold148, whol...  72.0    6e-11
  afen_scaffold_157                                                   68.6    7e-10
  scaffold_286                                                        67.0    2e-09
  dspp_scaffold_82                                                    66.6    3e-09
  NW_018149374.1 Orbicella faveolata isolate FL unplaced genomic ...  66.6    3e-09
  dspp_scaffold_9                                                     66.2    4e-09
  adi_Scaffold44                                                      65.5    6e-09
  SczhEnG_527                                                         63.2    3e-08
  afen_scaffold_144                                                   62.8    5e-08
  NW_004166939.1 Hydra vulgaris strain 105 unplaced genomic scaff...  61.6    1e-07
  SczhEnG_1972                                                        61.2    1e-07
  afen_scaffold_3                                                     60.8    2e-07
  SczhEnG_388                                                         60.5    2e-07
  dspp_scaffold_7                                                     60.5    2e-07
  NW_018148674.1 Orbicella faveolata isolate FL unplaced genomic ...  59.7    3e-07
  NW_018149536.1 Orbicella faveolata isolate FL unplaced genomic ...  59.3    6e-07
  scaffold_77                                                         58.5    8e-07
  LJWW01000103.1 Exaiptasia pallida isolate CC7 scaffold103, whol...  57.4    2e-06
  NW_004170266.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.1    1e-05
  NW_004168703.1 Hydra vulgaris strain 105 unplaced genomic scaff...  51.6    1e-04
  adi_Scaffold326                                                     37.7    0.001
  scaffold_19                                                         45.1    0.013
  dspp_scaffold_19                                                    40.0    0.43 



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= NP_001310251.1 mitogen-activated protein kinase 8 isoform beta2
[Homo sapiens]

Length=427
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  SczhEnG_3475                                                          221   5e-60
  NW_018149354.1 Orbicella faveolata isolate FL unplaced genomic ...    218   6e-59
  afen_scaffold_0                                                       216   3e-58
  dspp_scaffold_8                                                       216   3e-58
  adi_Scaffold4                                                         215   4e-58
  scaffold_83                                                           203   4e-54
  LJWW01000007.1 Exaiptasia pallida isolate CC7 scaffold7, whole ...    202   1e-53
  NW_004170103.1 Hydra vulgaris strain 105 unplaced genomic scaff...    153   4e-37
  scaffold_27                                                           148   2e-35
  NW_018150231.1 Orbicella faveolata isolate FL unplaced genomic ...    145   2e-34
  SczhEnG_3341                                                          140   5e-33
  NW_004169665.1 Hydra vulgaris strain 105 unplaced genomic scaff...    140   6e-33
  adi_Scaffold493                                                       138   2e-32
  afen_scaffold_362                                                     137   3e-32
  dspp_scaffold_141                                                     136   1e-31
  NW_018150090.1 Orbicella faveolata isolate FL unplaced genomic ...    133   7e-31
  NW_004169580.1 Hydra vulgaris strain 105 unplaced genomic scaff...    132   2e-30
  SczhEnG_4282                                                          131   5e-30
  LJWW01000413.1 Exaiptasia pallida isolate CC7 scaffold414, whol...    129   2e-29
  NW_004170916.1 Hydra vulgaris strain 105 unplaced genomic scaff...    129   2e-29
  adi_Scaffold94                                                        127   6e-29
  SczhEnG_1662                                                          127   8e-29
  NW_018149241.1 Orbicella faveolata isolate FL unplaced genomic ...    126   1e-28
  LJWW01000344.1 Exaiptasia pallida isolate CC7 scaffold345, whol...    125   3e-28
  NW_004168939.1 Hydra vulgaris strain 105 unplaced genomic scaff...    125   3e-28
  adi_Scaffold775                                                       125   3e-28
  afen_scaffold_158                                                     125   4e-28
  dspp_scaffold_307                                                     124   8e-28
  dspp_scaffold_6                                                       124   8e-28
  afen_scaffold_349                                                     124   9e-28
  scaffold_29                                                           123   2e-27
  LJWW01000006.1 Exaiptasia pallida isolate CC7 scaffold6, whole ...    122   3e-27
  scaffold_6670                                                         118   4e-26
  scaffold_23                                                           118   6e-26
  dspp_scaffold_131                                                     101   1e-20
  SczhEnG_229                                                           101   1e-20
  afen_scaffold_10                                                      100   1e-20
  LJWW01000448.1 Exaiptasia pallida isolate CC7 scaffold449, whol...    100   2e-20
  NW_018150252.1 Orbicella faveolata isolate FL unplaced genomic ...  99.8    4e-20
  scaffold_259                                                        97.4    2e-19
  scaffold_213                                                        97.4    2e-19
  dspp_scaffold_1                                                     96.3    6e-19
  scaffold_3                                                          95.9    7e-19
  afen_scaffold_91                                                    95.5    9e-19
  adi_Scaffold85                                                      95.1    1e-18
  LJWW01000047.1 Exaiptasia pallida isolate CC7 scaffold47, whole...  94.7    2e-18
  NW_004167221.1 Hydra vulgaris strain 105 unplaced genomic scaff...  94.0    3e-18
  adi_Scaffold1987                                                    93.6    4e-18
  LJWW01000240.1 Exaiptasia pallida isolate CC7 scaffold241, whol...  93.6    4e-18
  SczhEnG_862                                                         93.6    5e-18
  NW_018149453.1 Orbicella faveolata isolate FL unplaced genomic ...  93.2    6e-18
  dspp_scaffold_65                                                    92.4    1e-17
  LJWW01000126.1 Exaiptasia pallida isolate CC7 scaffold126, whol...  92.4    1e-17
  adi_Scaffold949                                                     91.3    3e-17
  NW_004167946.1 Hydra vulgaris strain 105 unplaced genomic scaff...  90.9    3e-17
  dspp_scaffold_62                                                    90.5    4e-17
  LJWW01000015.1 Exaiptasia pallida isolate CC7 scaffold15, whole...  89.7    7e-17
  adi_Scaffold57                                                      89.7    8e-17
  scaffold_72                                                         89.4    9e-17
  afen_scaffold_69                                                    89.4    1e-16
  LJWW01000434.1 Exaiptasia pallida isolate CC7 scaffold435, whol...  88.2    2e-16
  SczhEnG_3831                                                        87.4    4e-16
  afen_scaffold_90                                                    87.4    5e-16
  NW_004171564.1 Hydra vulgaris strain 105 unplaced genomic scaff...  86.7    6e-16
  NW_018149258.1 Orbicella faveolata isolate FL unplaced genomic ...  86.3    1e-15
  scaffold_11573                                                      84.7    1e-15
  afen_scaffold_31                                                    85.5    2e-15
  LJWW01000641.1 Exaiptasia pallida isolate CC7 scaffold642, whol...  85.1    2e-15
  adi_Scaffold1453                                                    85.1    2e-15
  SczhEnG_2088                                                        85.1    2e-15
  dspp_scaffold_142                                                   84.3    4e-15
  NW_018148670.1 Orbicella faveolata isolate FL unplaced genomic ...  84.0    5e-15
  dspp_scaffold_4                                                     84.0    5e-15
  dspp_scaffold_77                                                    84.0    5e-15
  LJWW01000858.1 Exaiptasia pallida isolate CC7 scaffold859, whol...  83.6    7e-15
  NW_018148606.1 Orbicella faveolata isolate FL unplaced genomic ...  83.6    7e-15
  SczhEnG_310                                                         83.2    1e-14
  NW_004170472.1 Hydra vulgaris strain 105 unplaced genomic scaff...  83.2    1e-14
  LJWW01000269.1 Exaiptasia pallida isolate CC7 scaffold270, whol...  82.8    1e-14
  LJWW01000043.1 Exaiptasia pallida isolate CC7 scaffold43, whole...  82.4    2e-14
  scaffold_187                                                        82.4    2e-14
  adi_Scaffold1388                                                    81.6    3e-14
  adi_Scaffold1787                                                    81.6    3e-14
  NW_018148848.1 Orbicella faveolata isolate FL unplaced genomic ...  81.6    3e-14
  afen_scaffold_63                                                    81.3    4e-14
  NW_018149255.1 Orbicella faveolata isolate FL unplaced genomic ...  80.5    6e-14
  SczhEnG_3257                                                        80.5    7e-14
  LJWW01000392.1 Exaiptasia pallida isolate CC7 scaffold393, whol...  80.5    7e-14
  adi_Scaffold232                                                     80.1    1e-13
  afen_scaffold_288                                                   79.7    1e-13
  scaffold_683                                                        79.7    1e-13
  NW_018148923.1 Orbicella faveolata isolate FL unplaced genomic ...  79.7    1e-13
  SczhEnG_2530                                                        79.3    2e-13
  afen_scaffold_28                                                    79.3    2e-13
  SczhEnG_3808                                                        78.6    3e-13
  LJWW01000234.1 Exaiptasia pallida isolate CC7 scaffold235, whol...  78.2    4e-13
  afen_scaffold_133                                                   77.8    5e-13
  NW_004173103.1 Hydra vulgaris strain 105 unplaced genomic scaff...  77.4    7e-13
  LJWW01000014.1 Exaiptasia pallida isolate CC7 scaffold14, whole...  77.4    7e-13
  dspp_scaffold_84                                                    77.0    9e-13
  dspp_scaffold_41                                                    76.6    1e-12
  NW_018149184.1 Orbicella faveolata isolate FL unplaced genomic ...  76.6    1e-12
  LJWW01000021.1 Exaiptasia pallida isolate CC7 scaffold21, whole...  76.3    1e-12
  LJWW01000086.1 Exaiptasia pallida isolate CC7 scaffold86, whole...  76.3    2e-12
  LJWW01000170.1 Exaiptasia pallida isolate CC7 scaffold170, whol...  75.9    2e-12
  LJWW01000107.1 Exaiptasia pallida isolate CC7 scaffold107, whol...  75.9    2e-12
  NW_004167190.1 Hydra vulgaris strain 105 unplaced genomic scaff...  75.9    2e-12
  LJWW01001177.1 Exaiptasia pallida isolate CC7 scaffold1180, who...  75.1    3e-12
  adi_Scaffold590                                                     74.7    4e-12
  NW_004169920.1 Hydra vulgaris strain 105 unplaced genomic scaff...  74.7    5e-12
  scaffold_349                                                        74.7    5e-12
  adi_Scaffold689                                                     73.9    8e-12
  SczhEnG_2746                                                        73.2    1e-11
  SczhEnG_2007                                                        73.2    2e-11
  dspp_scaffold_20                                                    73.2    2e-11
  dspp_scaffold_296                                                   73.2    2e-11
  LJWW01000070.1 Exaiptasia pallida isolate CC7 scaffold70, whole...  72.8    2e-11
  NW_004173181.1 Hydra vulgaris strain 105 unplaced genomic scaff...  72.8    2e-11
  NW_018148581.1 Orbicella faveolata isolate FL unplaced genomic ...  72.4    3e-11
  NW_018149318.1 Orbicella faveolata isolate FL unplaced genomic ...  72.4    3e-11
  LJWW01000483.1 Exaiptasia pallida isolate CC7 scaffold484, whol...  72.0    3e-11
  adi_Scaffold115                                                     72.0    4e-11
  dspp_scaffold_27                                                    72.0    4e-11
  adi_Scaffold95                                                      72.0    4e-11
  afen_scaffold_132                                                   71.6    4e-11
  LJWW01000743.1 Exaiptasia pallida isolate CC7 scaffold744, whol...  71.6    4e-11
  NW_018149542.1 Orbicella faveolata isolate FL unplaced genomic ...  71.6    5e-11
  NW_004169554.1 Hydra vulgaris strain 105 unplaced genomic scaff...  71.6    5e-11
  scaffold_74                                                         71.2    6e-11
  NW_018149378.1 Orbicella faveolata isolate FL unplaced genomic ...  71.2    6e-11
  dspp_scaffold_0                                                     71.2    7e-11
  NW_004168938.1 Hydra vulgaris strain 105 unplaced genomic scaff...  71.2    7e-11
  scaffold_140                                                        70.9    8e-11
  adi_Scaffold756                                                     70.5    1e-10
  LJWW01000184.1 Exaiptasia pallida isolate CC7 scaffold185, whol...  70.5    1e-10
  LJWW01000427.1 Exaiptasia pallida isolate CC7 scaffold428, whol...  70.1    1e-10
  afen_scaffold_253                                                   70.1    1e-10
  NW_004169583.1 Hydra vulgaris strain 105 unplaced genomic scaff...  70.1    1e-10
  scaffold_221                                                        70.1    1e-10
  scaffold_251                                                        70.1    1e-10
  scaffold_124                                                        70.1    2e-10
  dspp_scaffold_301                                                   69.7    2e-10
  LJWW01000121.1 Exaiptasia pallida isolate CC7 scaffold121, whol...  69.7    2e-10
  NW_004167314.1 Hydra vulgaris strain 105 unplaced genomic scaff...  68.9    3e-10
  afen_scaffold_234                                                   68.9    3e-10
  NW_004171263.1 Hydra vulgaris strain 105 unplaced genomic scaff...  68.9    3e-10
  scaffold_160                                                        68.6    4e-10
  SczhEnG_1821                                                        68.6    4e-10
  adi_Scaffold283                                                     68.6    5e-10
  afen_scaffold_16                                                    68.6    5e-10
  afen_scaffold_3                                                     68.6    5e-10
  scaffold_16                                                         68.2    5e-10
  scaffold_1                                                          68.2    6e-10
  NW_004169091.1 Hydra vulgaris strain 105 unplaced genomic scaff...  68.2    6e-10
  adi_Scaffold350                                                     68.2    6e-10
  LJWW01000149.1 Exaiptasia pallida isolate CC7 scaffold149, whol...  67.8    8e-10
  dspp_scaffold_55                                                    67.8    8e-10
  scaffold_101                                                        67.4    9e-10
  scaffold_2119                                                       67.4    1e-09
  NW_004168762.1 Hydra vulgaris strain 105 unplaced genomic scaff...  67.0    1e-09
  adi_Scaffold220                                                     67.0    1e-09
  SczhEnG_2518                                                        67.0    1e-09
  adi_Scaffold36                                                      66.6    2e-09
  LJWW01000099.1 Exaiptasia pallida isolate CC7 scaffold99, whole...  66.6    2e-09
  dspp_scaffold_203                                                   66.6    2e-09
  scaffold_17                                                         66.2    2e-09
  afen_scaffold_203                                                   66.2    2e-09
  dspp_scaffold_2                                                     66.2    2e-09
  NW_004178023.1 Hydra vulgaris strain 105 unplaced genomic scaff...  65.9    2e-09
  afen_scaffold_221                                                   66.2    3e-09
  scaffold_357                                                        65.9    3e-09
  SczhEnG_246                                                         65.9    3e-09
  scaffold_6437                                                       65.5    3e-09
  adi_Scaffold158                                                     65.9    3e-09
  SczhEnG_4124                                                        65.9    3e-09
  NW_018149129.1 Orbicella faveolata isolate FL unplaced genomic ...  65.9    3e-09
  afen_scaffold_24                                                    65.5    4e-09
  NW_004168748.1 Hydra vulgaris strain 105 unplaced genomic scaff...  65.1    5e-09
  LJWW01000030.1 Exaiptasia pallida isolate CC7 scaffold30, whole...  65.1    5e-09
  scaffold_505                                                        65.1    5e-09
  afen_scaffold_135                                                   65.1    5e-09
  SczhEnG_3584                                                        65.1    6e-09
  dspp_scaffold_436                                                   64.7    6e-09
  adi_Scaffold2539                                                    64.7    6e-09
  SczhEnG_3206                                                        64.7    8e-09
  SczhEnG_2871                                                        64.7    8e-09
  adi_Scaffold967                                                     64.3    8e-09
  LJWW01000301.1 Exaiptasia pallida isolate CC7 scaffold302, whol...  64.3    8e-09
  NW_018150112.1 Orbicella faveolata isolate FL unplaced genomic ...  64.3    8e-09
  NW_004167603.1 Hydra vulgaris strain 105 unplaced genomic scaff...  64.3    9e-09
  NW_004169168.1 Hydra vulgaris strain 105 unplaced genomic scaff...  56.6    9e-09
  NW_004168911.1 Hydra vulgaris strain 105 unplaced genomic scaff...  64.3    1e-08
  scaffold_9213                                                       63.9    1e-08
  adi_Scaffold925                                                     63.9    1e-08
  dspp_scaffold_74                                                    63.9    1e-08
  LJWW01000238.1 Exaiptasia pallida isolate CC7 scaffold239, whol...  63.5    1e-08
  NW_018149413.1 Orbicella faveolata isolate FL unplaced genomic ...  63.5    2e-08
  SczhEnG_2494                                                        63.2    2e-08
  LJWW01000445.1 Exaiptasia pallida isolate CC7 scaffold446, whol...  63.2    2e-08
  scaffold_129                                                        63.2    2e-08
  dspp_scaffold_241                                                   63.2    2e-08
  SczhEnG_1885                                                        63.2    2e-08
  NW_004168241.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.2    2e-08
  LJWW01000182.1 Exaiptasia pallida isolate CC7 scaffold183, whol...  63.2    2e-08
  LJWW01000104.1 Exaiptasia pallida isolate CC7 scaffold104, whol...  62.8    3e-08
  afen_scaffold_488                                                   62.8    3e-08
  scaffold_139                                                        62.4    3e-08
  scaffold_10268                                                      62.0    4e-08
  NW_004171017.1 Hydra vulgaris strain 105 unplaced genomic scaff...  62.4    4e-08
  NW_018149641.1 Orbicella faveolata isolate FL unplaced genomic ...  62.4    4e-08
  NW_018149707.1 Orbicella faveolata isolate FL unplaced genomic ...  62.0    4e-08
  adi_Scaffold1874                                                    62.0    4e-08
  LJWW01000173.1 Exaiptasia pallida isolate CC7 scaffold174, whol...  62.0    5e-08
  NW_004166962.1 Hydra vulgaris strain 105 unplaced genomic scaff...  62.0    5e-08
  adi_Scaffold3530                                                    62.0    5e-08
  NW_004169951.1 Hydra vulgaris strain 105 unplaced genomic scaff...  62.0    5e-08
  adi_Scaffold821                                                     61.6    6e-08
  NW_018150132.1 Orbicella faveolata isolate FL unplaced genomic ...  61.6    6e-08
  adi_Scaffold154                                                     61.6    6e-08
  scaffold_245                                                        61.6    7e-08
  NW_018150269.1 Orbicella faveolata isolate FL unplaced genomic ...  61.6    7e-08
  afen_scaffold_260                                                   61.2    7e-08
  LJWW01004070.1 Exaiptasia pallida isolate CC7 scaffold4797, who...  60.1    8e-08
  NW_018150242.1 Orbicella faveolata isolate FL unplaced genomic ...  61.2    9e-08
  LJWW01000098.1 Exaiptasia pallida isolate CC7 scaffold98, whole...  61.2    9e-08
  afen_scaffold_36                                                    61.2    9e-08
  dspp_scaffold_25                                                    60.8    1e-07
  dspp_scaffold_109                                                   60.8    1e-07
  LJWW01000008.1 Exaiptasia pallida isolate CC7 scaffold8, whole ...  60.8    1e-07
  adi_Scaffold322                                                     60.8    1e-07
  NW_018150256.1 Orbicella faveolata isolate FL unplaced genomic ...  60.8    1e-07
  afen_scaffold_37                                                    60.5    1e-07
  dspp_scaffold_285                                                   60.5    2e-07
  SczhEnG_2416                                                        60.5    2e-07
  dspp_scaffold_140                                                   60.5    2e-07
  adi_Scaffold1326                                                    60.5    2e-07
  NW_018150366.1 Orbicella faveolata isolate FL unplaced genomic ...  60.1    2e-07
  LJWW01003437.1 Exaiptasia pallida isolate CC7 scaffold4037, who...  59.3    2e-07
  NW_004168159.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.1    2e-07
  scaffold_138                                                        60.1    2e-07
  SczhEnG_2310                                                        60.1    2e-07
  LJWW01000013.1 Exaiptasia pallida isolate CC7 scaffold13, whole...  59.7    2e-07
  SczhEnG_3018                                                        59.7    2e-07
  SczhEnG_3680                                                        59.7    3e-07
  NW_004169026.1 Hydra vulgaris strain 105 unplaced genomic scaff...  59.7    3e-07
  NW_018149312.1 Orbicella faveolata isolate FL unplaced genomic ...  59.3    3e-07
  NW_018149007.1 Orbicella faveolata isolate FL unplaced genomic ...  59.3    3e-07
  LJWW01000002.1 Exaiptasia pallida isolate CC7 scaffold2, whole ...  59.3    4e-07
  LJWW01000214.1 Exaiptasia pallida isolate CC7 scaffold215, whol...  58.9    5e-07
  dspp_scaffold_648                                                   58.5    5e-07
  afen_scaffold_321                                                   58.5    5e-07
  LJWW01000024.1 Exaiptasia pallida isolate CC7 scaffold24, whole...  58.5    6e-07
  afen_scaffold_178                                                   58.5    6e-07
  afen_scaffold_964                                                   58.5    6e-07
  NW_004167554.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.5    6e-07
  LJWW01000100.1 Exaiptasia pallida isolate CC7 scaffold100, whol...  58.5    6e-07
  NW_004172533.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.2    7e-07
  afen_scaffold_93                                                    58.2    7e-07
  LJWW01000210.1 Exaiptasia pallida isolate CC7 scaffold211, whol...  58.2    7e-07
  NW_018149816.1 Orbicella faveolata isolate FL unplaced genomic ...  58.2    8e-07
  scaffold_75                                                         58.2    8e-07
  adi_Scaffold241                                                     58.2    8e-07
  LJWW01000040.1 Exaiptasia pallida isolate CC7 scaffold40, whole...  58.2    8e-07
  NW_018149199.1 Orbicella faveolata isolate FL unplaced genomic ...  58.2    8e-07
  LJWW01000082.1 Exaiptasia pallida isolate CC7 scaffold82, whole...  57.8    9e-07
  scaffold_299                                                        57.8    9e-07
  SczhEnG_1021                                                        57.8    9e-07
  scaffold_122                                                        57.8    9e-07
  NW_018149177.1 Orbicella faveolata isolate FL unplaced genomic ...  57.8    1e-06
  dspp_scaffold_24                                                    57.8    1e-06
  scaffold_126                                                        57.4    1e-06
  SczhEnG_2561                                                        57.4    1e-06
  SczhEnG_2623                                                        57.4    1e-06
  SczhEnG_2243                                                        57.4    1e-06
  dspp_scaffold_405                                                   57.4    1e-06
  adi_Scaffold441                                                     57.0    2e-06
  scaffold_79                                                         40.0    2e-06
  scaffold_382                                                        57.0    2e-06
  scaffold_31                                                         57.0    2e-06
  afen_scaffold_262                                                   56.6    2e-06
  scaffold_4                                                          56.6    2e-06
  dspp_scaffold_83                                                    56.6    3e-06
  NW_018149159.1 Orbicella faveolata isolate FL unplaced genomic ...  56.2    3e-06
  dspp_scaffold_1912                                                  56.2    3e-06
  adi_Scaffold587                                                     56.2    3e-06
  adi_Scaffold162                                                     56.2    3e-06
  SczhEnG_1782                                                        55.8    4e-06
  SczhEnG_1883                                                        55.8    4e-06
  SczhEnG_2250                                                        55.8    4e-06
  NW_018149382.1 Orbicella faveolata isolate FL unplaced genomic ...  55.8    4e-06
  adi_Scaffold1                                                       55.8    4e-06
  NW_018150223.1 Orbicella faveolata isolate FL unplaced genomic ...  55.8    4e-06
  dspp_scaffold_42                                                    55.8    4e-06
  dspp_scaffold_29                                                    55.5    5e-06
  NW_004169981.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.5    5e-06
  NW_018150096.1 Orbicella faveolata isolate FL unplaced genomic ...  55.5    5e-06
  dspp_scaffold_653                                                   55.5    5e-06
  scaffold_35                                                         55.5    6e-06
  dspp_scaffold_864                                                   55.1    6e-06
  SczhEnG_4230                                                        55.1    7e-06
  scaffold_3415                                                       55.1    7e-06
  NW_004171978.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.1    7e-06
  NW_018149556.1 Orbicella faveolata isolate FL unplaced genomic ...  55.1    7e-06
  LJWW01000212.1 Exaiptasia pallida isolate CC7 scaffold213, whol...  55.1    8e-06
  adi_Scaffold342                                                     54.7    8e-06
  LJWW01000233.1 Exaiptasia pallida isolate CC7 scaffold234, whol...  54.7    8e-06
  adi_Scaffold404                                                     54.7    9e-06
  NW_018148822.1 Orbicella faveolata isolate FL unplaced genomic ...  54.7    9e-06
  dspp_scaffold_279                                                   54.7    1e-05
  afen_scaffold_61                                                    54.7    1e-05
  adi_Scaffold8                                                       54.7    1e-05
  LJWW01000003.1 Exaiptasia pallida isolate CC7 scaffold3, whole ...  54.3    1e-05
  dspp_scaffold_236                                                   54.3    1e-05
  afen_scaffold_23                                                    54.3    1e-05
  adi_Scaffold1219                                                    53.9    1e-05
  NW_018148858.1 Orbicella faveolata isolate FL unplaced genomic ...  53.9    2e-05
  NW_004167130.1 Hydra vulgaris strain 105 unplaced genomic scaff...  53.9    2e-05
  SczhEnG_4273                                                        53.9    2e-05
  NW_018150316.1 Orbicella faveolata isolate FL unplaced genomic ...  53.5    2e-05
  dspp_scaffold_104                                                   53.5    2e-05
  LJWW01000035.1 Exaiptasia pallida isolate CC7 scaffold35, whole...  53.5    2e-05
  LJWW01000010.1 Exaiptasia pallida isolate CC7 scaffold10, whole...  53.5    2e-05
  adi_Scaffold1165                                                    53.1    3e-05
  afen_scaffold_466                                                   53.1    3e-05
  SczhEnG_1137                                                        53.1    3e-05
  afen_scaffold_192                                                   52.8    4e-05
  NW_004169158.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.8    4e-05
  NW_018148839.1 Orbicella faveolata isolate FL unplaced genomic ...  52.8    4e-05
  adi_Scaffold263                                                     52.4    4e-05
  dspp_scaffold_112                                                   52.4    4e-05
  afen_scaffold_78                                                    52.4    5e-05
  scaffold_9                                                          52.4    5e-05
  NW_004172345.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.4    5e-05
  adi_Scaffold106                                                     52.4    5e-05
  afen_scaffold_83                                                    52.0    5e-05
  afen_scaffold_514                                                   52.0    6e-05
  NW_004168270.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.0    6e-05
  scaffold_289                                                        52.0    6e-05
  scaffold_141                                                        52.0    7e-05
  dspp_scaffold_126                                                   52.0    7e-05
  dspp_scaffold_143                                                   51.6    7e-05
  LJWW01000137.1 Exaiptasia pallida isolate CC7 scaffold137, whol...  51.6    8e-05
  NW_004168001.1 Hydra vulgaris strain 105 unplaced genomic scaff...  51.6    8e-05
  adi_Scaffold564                                                     51.6    8e-05
  dspp_scaffold_82                                                    51.6    8e-05
  afen_scaffold_582                                                   51.6    9e-05
  dspp_scaffold_33                                                    51.6    9e-05
  dspp_scaffold_206                                                   51.6    9e-05
  SczhEnG_1473                                                        51.6    9e-05
  NW_004178522.1 Hydra vulgaris strain 105 unplaced genomic scaff...  51.2    1e-04
  NW_004168350.1 Hydra vulgaris strain 105 unplaced genomic scaff...  51.2    1e-04
  SczhEnG_3433                                                        51.2    1e-04
  dspp_scaffold_703                                                   51.2    1e-04
  SczhEnG_2749                                                        51.2    1e-04
  LJWW01000294.1 Exaiptasia pallida isolate CC7 scaffold295, whol...  50.8    1e-04
  NW_004169482.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.8    1e-04
  NW_004175073.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.8    1e-04
  NW_004175068.1 Hydra vulgaris strain 105 unplaced genomic scaff...  42.0    1e-04
  NW_004168323.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.8    2e-04
  afen_scaffold_2                                                     50.8    2e-04
  afen_scaffold_71                                                    50.8    2e-04
  LJWW01000844.1 Exaiptasia pallida isolate CC7 scaffold845, whol...  50.8    2e-04
  dspp_scaffold_102                                                   50.4    2e-04
  afen_scaffold_47                                                    50.4    2e-04
  NW_004166932.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.4    2e-04
  NW_004170274.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.4    2e-04
  adi_Scaffold896                                                     50.4    2e-04
  afen_scaffold_396                                                   50.4    2e-04
  afen_scaffold_361                                                   50.4    2e-04
  NW_004176622.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.1    2e-04
  NW_004168568.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.1    3e-04
  NW_004167395.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.1    3e-04
  NW_018149026.1 Orbicella faveolata isolate FL unplaced genomic ...  49.7    3e-04
  adi_Scaffold412                                                     49.7    3e-04
  NW_004170092.1 Hydra vulgaris strain 105 unplaced genomic scaff...  49.7    3e-04
